NeuroTreeID,LastAuthor,Pmid,Connectedness
1484,Spruston N,23177962,0.837209302326
1645,Baraban SC,15381293,0.837209302326
2613,Gulledge AT,21160001,0.837209302326
50988,Draguhn A,19302151,0.837209302326
6500,Xu X,24166578,0.837209302326
10080,Ramakers GM,12699792,0.813953488372
10162,Wilcox KS,16481438,0.813953488372
12460,Orser BA,17715197,0.813953488372
13466,Barish ME,10878106,0.813953488372
1404,Chitwood RA,19675296,0.813953488372
1651,Schwartzkroin PA,9120553,0.813953488372
18036,Woodin MA,18353290,0.813953488372
2084,Klann E,22131424,0.813953488372
21681,Lupica CR,9185537,0.813953488372
2223,Siegelbaum SA,20510860,0.813953488372
2701,Chattarji S,22157122,0.813953488372
28749,Thompson LT,22367983,0.813953488372
29312,Buhl EH,9503336,0.813953488372
30514,Jefferys JG,12379253,0.813953488372
3355,Cobb SR,17291464,0.813953488372
3776,Paulsen O,24399930,0.813953488372
455,Segal M,19261881,0.813953488372
458,Disterhoft JF,23536065,0.813953488372
4810,Scharfman HE,16192378,0.813953488372
5067,Abraham WC,12091536,0.813953488372
5164,Seeburg PH,19103683,0.813953488372
5362,Dumas TC,11287462,0.813953488372
6909,Schrader LA,25628536,0.813953488372
7764,Murphy GG,20014384,0.813953488372
81966,Schreurs BG,20639007,0.813953488372
9024,MacVicar BA,11247989,0.813953488372
2534,Gogos JA,21635953,0.790697674419
3542,Magee JC,14573548,0.790697674419
3677,Kullmann DM,17884930,0.790697674419
5894,Isom LL,19710327,0.790697674419
196,Bernard C,22423094,0.767441860465
9675,Yaari Y,16237175,0.093023255814
8152,Lothman EW,9310439,0.0232558139535
2218,Alkon DL,11495958,0.0
2492,Jensen FE,22171027,0.0
28491,Irving AJ,16367774,0.0
42508,Landfield PW,26224869,0.0
7080,Brown RE,19914331,0.0
9676,Cavalheiro EA,21215795,0.0
5038,Buzsáki G,11483306,
74136,Swartzwelder HS,14645379,
,Angelatou F,16542781,
,Behr J,20646048,
,Bergeron R,15661817,
,Buño W,12867518,
,Carlen PL,17991696,
,Chen JY,18674519,
,Greene RW,12843280,
,Hájos N,20421280,
,Hübner CA,21593314,
,Joëls M,12895506,
,None,22279188,
,Ruan DY,18683240,
,Sanchez-Andres JV,10799755,
,Stelzer A,10087347,
,Takada M,15107470,
,Tang CM,17202472,
,Thibault O,16571755,
,Velumian AA,8931019,
,Wheal HV,16533575,
,Xu ZC,10218778,
,Yan R,20592204,
